T26,Population employed in research and development (R&D),,,,,
682,Saudi Arabia,2009,R & D personnel: Researchers - women (number in full-time equivalent),18,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
682,Saudi Arabia,2013,R & D personnel: Total (number in full-time equivalent),"751,927",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
682,Saudi Arabia,2013,R & D personnel: Researchers - total (number in full-time equivalent),"35,324",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
682,Saudi Arabia,2013,R & D personnel: Researchers - women (number in full-time equivalent),"8,198",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
682,Saudi Arabia,2013,R & D personnel: Technicians - women (number in full-time equivalent),"39,420",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
682,Saudi Arabia,2013,R & D personnel: Other supporting staff - women (number in full-time equivalent),"276,272",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,R & D personnel: Total (number in full-time equivalent),"5,642",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,R & D personnel: Researchers - total (number in full-time equivalent),"4,679",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,R & D personnel: Researchers - women (number in full-time equivalent),"1,162",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,R & D personnel: Technicians - total (number in full-time equivalent),441,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,R & D personnel: Technicians - women (number in full-time equivalent),101,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),523,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),161,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,R & D personnel: Total (number in full-time equivalent),"9,329",Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,R & D personnel: Researchers - total (number in full-time equivalent),"8,227",Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,R & D personnel: Researchers - women (number in full-time equivalent),"2,486",Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,R & D personnel: Technicians - total (number in full-time equivalent),538,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,R & D personnel: Technicians - women (number in full-time equivalent),166,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),563,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
686,Senegal,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),150,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2010,R & D personnel: Total (number in full-time equivalent),"17,274","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"10,985","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2010,R & D personnel: Researchers - women (number in full-time equivalent),"5,370","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2010,R & D personnel: Technicians - total (number in full-time equivalent),"2,428","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2010,R & D personnel: Technicians - women (number in full-time equivalent),"1,475","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,861","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,954","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2015,R & D personnel: Total (number in full-time equivalent),"21,573","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2015,R & D personnel: Researchers - total (number in full-time equivalent),"14,657","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2015,R & D personnel: Researchers - women (number in full-time equivalent),"7,201",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2015,R & D personnel: Technicians - total (number in full-time equivalent),"2,974","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2015,R & D personnel: Technicians - women (number in full-time equivalent),"1,507",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,942","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,981",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2018,R & D personnel: Total (number in full-time equivalent),"20,868","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2018,R & D personnel: Researchers - total (number in full-time equivalent),"14,535","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2018,R & D personnel: Researchers - women (number in full-time equivalent),"7,465",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2018,R & D personnel: Technicians - total (number in full-time equivalent),"2,869","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2018,R & D personnel: Technicians - women (number in full-time equivalent),"1,456",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,464","Excluding data from some regions, provinces or states.","United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
688,Serbia,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,646",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2005,R & D personnel: Total (number in full-time equivalent),199,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2005,R & D personnel: Researchers - total (number in full-time equivalent),13,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2005,R & D personnel: Researchers - women (number in full-time equivalent),4,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2005,R & D personnel: Technicians - total (number in full-time equivalent),64,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),114,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2016,R & D personnel: Total (number in full-time equivalent),442,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2016,R & D personnel: Researchers - total (number in full-time equivalent),149,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2016,R & D personnel: Researchers - women (number in full-time equivalent),52,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2016,R & D personnel: Technicians - total (number in full-time equivalent),141,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2016,R & D personnel: Technicians - women (number in full-time equivalent),57,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
690,Seychelles,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),86,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2005,R & D personnel: Total (number in full-time equivalent),"28,586",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2005,R & D personnel: Researchers - total (number in full-time equivalent),"23,789",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2005,R & D personnel: Technicians - total (number in full-time equivalent),"2,375",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,422",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2010,R & D personnel: Total (number in full-time equivalent),"37,010",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2010,R & D personnel: Researchers - total (number in full-time equivalent),"32,028",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2010,R & D personnel: Technicians - total (number in full-time equivalent),"2,342",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,641",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2015,R & D personnel: Total (number in full-time equivalent),"45,454",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2015,R & D personnel: Researchers - total (number in full-time equivalent),"39,182",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2015,R & D personnel: Technicians - total (number in full-time equivalent),"2,516",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,756",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2017,R & D personnel: Total (number in full-time equivalent),"44,517",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2017,R & D personnel: Researchers - total (number in full-time equivalent),"38,829",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2017,R & D personnel: Technicians - total (number in full-time equivalent),"2,154",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
702,Singapore,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,534",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2005,R & D personnel: Total (number in full-time equivalent),"14,404",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"10,921",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2005,R & D personnel: Researchers - women (number in full-time equivalent),"4,484",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2005,R & D personnel: Technicians - total (number in full-time equivalent),"2,245",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2005,R & D personnel: Technicians - women (number in full-time equivalent),"1,218",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,238",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),670,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2010,R & D personnel: Total (number in full-time equivalent),"18,188",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"15,183",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2010,R & D personnel: Researchers - women (number in full-time equivalent),"6,376",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2010,R & D personnel: Technicians - total (number in full-time equivalent),"2,087",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2010,R & D personnel: Technicians - women (number in full-time equivalent),"1,046",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),918,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),589,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2015,R & D personnel: Total (number in full-time equivalent),"17,591",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2015,R & D personnel: Researchers - total (number in full-time equivalent),"14,406",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2015,R & D personnel: Researchers - women (number in full-time equivalent),"6,029",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2015,R & D personnel: Technicians - total (number in full-time equivalent),"2,116",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2015,R & D personnel: Technicians - women (number in full-time equivalent),885,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,070",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),599,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2018,R & D personnel: Total (number in full-time equivalent),"20,268",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2018,R & D personnel: Researchers - total (number in full-time equivalent),"16,337",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2018,R & D personnel: Researchers - women (number in full-time equivalent),"6,423",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2018,R & D personnel: Technicians - total (number in full-time equivalent),"2,839",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2018,R & D personnel: Technicians - women (number in full-time equivalent),924,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,091",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
703,Slovakia,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),545,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2005,R & D personnel: Total (number in full-time equivalent),"8,994",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"5,253",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2005,R & D personnel: Researchers - women (number in full-time equivalent),"1,777",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2005,R & D personnel: Technicians - total (number in full-time equivalent),"2,820",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2005,R & D personnel: Technicians - women (number in full-time equivalent),"1,067",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),921,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),501,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2010,R & D personnel: Total (number in full-time equivalent),"12,940",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"7,703",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2010,R & D personnel: Researchers - women (number in full-time equivalent),"2,668",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2010,R & D personnel: Technicians - total (number in full-time equivalent),"3,928",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2010,R & D personnel: Technicians - women (number in full-time equivalent),"1,386",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,309",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),642,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2015,R & D personnel: Total (number in full-time equivalent),"14,225",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2015,R & D personnel: Researchers - total (number in full-time equivalent),"7,900",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2015,R & D personnel: Researchers - women (number in full-time equivalent),"2,686",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2015,R & D personnel: Technicians - total (number in full-time equivalent),"4,970",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2015,R & D personnel: Technicians - women (number in full-time equivalent),"1,560",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,354",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),588,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2017,R & D personnel: Total (number in full-time equivalent),"14,713",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2017,R & D personnel: Researchers - total (number in full-time equivalent),"9,301",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
